Column1,name,location,area_sqft,washrooms,bedrooms,city ,status,price,parking,ac,hardwood_floors,dishwasher,Fireplace,country,roofdeck, storage,pets
44,"2 BHK Apartment in Gala AuraBopal, Ahmedabad","Bopal, Ahmedabad",1375,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"19,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
45,"2 BHK Apartment in Aaryan GloriaBopal, Ahmedabad","Bopal, Ahmedabad",1170,No Deposit2 bathroomsEast facing,2 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,FurnishedStatus,"27,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
46,"3 BHK Apartment in Simandhar TowerBodakdev, Ahmedabad","Bodakdev, Ahmedabad",1989,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"40,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
47,"3 BHK Apartment in Sun Sky ParkAmbli, Ahmedabad","Ambli, Ahmedabad",1985,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Ambli Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"42,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
48,"3 BHK Apartment in Takshashila AirEllisbridge, Ahmedabad","Ellisbridge, Ahmedabad",2100,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Ellisbridge Ahmedabad:,Ahmedabad,FurnishedStatus,"55,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
49,"4 BHK VillaSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1800,No Deposit4 bathroomsNorth facing,4 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
50,"3 BHK Apartment in Sheetal WestparkVastrapur, Ahmedabad","Vastrapur, Ahmedabad",1650,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Vastrapur Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
51,"3 BHK ApartmentTragad, Ahmedabad","Tragad, Ahmedabad",2020,No Deposit3 bathroomsWest facing,3 BHK Rental Property in Tragad Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"22,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
52,"3 BHK Apartment in Adi SkyzPrahlad Nagar, Ahmedabad","Prahlad Nagar, Ahmedabad",2170,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Prahlad Nagar Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"35,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
53,"3 BHK ApartmentGhuma, Ahmedabad","Ghuma, Ahmedabad",1500,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Ghuma Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"16,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
54,"3 BHK ApartmentSouth Bopal, Ahmedabad","South Bopal, Ahmedabad",1450,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in South Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"20,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
55,"3 BHK ApartmentShilaj, Ahmedabad","Shilaj, Ahmedabad",1600,No Deposit3 bathroomsNorthEast facing,3 BHK Rental Property in Shilaj Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"17,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
56,"4 BHK Apartment in Earth EleganceBodakdev, Ahmedabad","Bodakdev, Ahmedabad",3080,No Deposit5 bathroomsEast facing,4 BHK Rental Property in Bodakdev Ahmedabad:,Ahmedabad,FurnishedStatus,"75,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
57,"3 BHK Apartment in Sangath PoshChandkheda, Ahmedabad","Chandkheda, Ahmedabad",2720,No Deposit3 bathroomsEast facing,3 BHK Rental Property in Chandkheda Ahmedabad:,Ahmedabad,FurnishedStatus,"45,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
58,"3 BHK Apartment in JP Iscon PlatinumBopal, Ahmedabad","Bopal, Ahmedabad",1922,No Deposit2 bathrooms,3 BHK Rental Property in Bopal Ahmedabad:,Ahmedabad,Semi-FurnishedStatus,"30,000 Price",not mentioned,yes,not mentioned,1,not mentioned,India,not mentioned,yes,allowed
